epoch,time,lr,train_loss,train_acc,val_loss,val_acc,train_time,val_time
32,23376.65866613388,0.001,0.003934808157254759,0.998425935444079,0.0005624418915657241,0.9998585319660015,321.3922960758209,423.9244923591614
33,24124.603425502777,0.001,0.0033551753495424342,0.9985929790296053,0.00015239576215038249,0.9999393708425721,321.8784246444702,415.57620882987976
34,24872.008100032806,0.001,0.0019566035382673195,0.9989784642269737,0.00011637773897195358,0.9999249353288987,325.6806185245514,410.98611211776733
35,25612.448499679565,0.001,0.003501535138340611,0.9984323601973685,0.0002342424162639163,0.9999047256097561,319.50122809410095,409.9712243080139
36,26298.207139730453,0.001,0.001938854547660212,0.9989913137335527,8.978234942490408e-05,0.9999653547671841,317.4126250743866,357.8174042701721
37,26985.016273975372,0.001,0.0019989179048075533,0.9991262335526315,0.000137161728168439,0.9999595805617147,315.6923637390137,358.8200557231903
38,27670.418068647385,0.001,0.0016461877814817733,0.9992740028782895,6.165901579379366e-05,0.9999769031781227,317.67828917503357,356.93280029296875
39,28356.24525809288,0.001,0.0016023235427879675,0.999267578125,0.0011195614796509284,0.999569821692535,316.40106201171875,358.46915769577026
40,29045.988290548325,0.001,0.0022753849398428954,0.9989463404605263,8.85510339956806e-05,0.9999682418699187,316.3990309238434,363.0525813102722
41,29724.94522666931,0.001,0.0026409019872083335,0.9988692434210527,0.0013432221350419273,0.9998498706577975,311.3309543132782,357.2554454803467
42,30414.927785396576,0.001,0.0026962527903887667,0.9990555612664473,0.0006922533442333377,0.9998902900960828,313.4061152935028,366.2521824836731
43,31165.517781734467,0.001,0.0027206202819732724,0.9990941097861842,0.0003536555547106661,0.9999393708425721,320.7139620780945,418.3801074028015
44,31916.100934267044,0.001,0.001365673537612659,0.9993189761513158,5.549597712515648e-05,0.999991338691796,321.8393511772156,416.9978082180023
45,32669.366332769394,0.001,0.0018670274603105564,0.9993575246710527,0.0007236826286307375,0.9995496119733924,319.69633054733276,423.06047558784485
46,33427.34710025787,0.001,0.0013899156186021524,0.9993575246710527,0.00011325054452961117,0.9999480321507761,322.7004232406616,424.51282930374146
47,34173.04993700981,0.001,0.0014593892818272698,0.9992226048519737,9.320913931979783e-05,0.9999509192535108,319.17102813720703,416.09858989715576
